entertainment n.娱乐（活动）；招待
density n.浓度；密度
decree n.法令，政令；判决
amaze v.使惊奇
allow v.允许；使可能；留出
stuff n.物品；物质；材料；事情
siege n.围攻，围困
speed n.速度；迅速
dollar n.美元
culminate v.（以某种结果）告终
conclude v.得出结论；推断出；终止；总结
complement v.补充；补足；使完美
income n.收入，收益，所得
conquest n.征服；占领的地区
imaginative adj.有想象力的，创新的
discreet adj.谨慎的；慎重的
cottage n.村舍；小别墅
eastern adj.东方的，向东的；东方国家的
regarding prep.关于
guilty adj.犯罪的，有罪责的；使感到内疚的
bulk n.主体，大部分；（大）体积或量
passive adj.被动的，消极的
evening n.晚上；晚会，晚间活动
plague n.瘟疫；传染病；灾害；祸患
shelter n.住处；遮蔽；遮盖物；避难所
trait n.特征，特点；遗传特征
refuse v.拒绝；回绝
crowd n.人群，观众，民众
alloy n.合金
allocate v.分配，分派
tentative adj.暂定的；犹豫不定的
dove n.鸽子；温和派政客
extinguish v.扑灭；使（火，光）熄灭；毁灭
language n.语言（风格）
applaud v.鼓掌；称赞，赞许
drink n.饮料，酒
nap n.小睡，打盹；短绒毛
verse n.诗；韵文；诗节；歌曲段落
statesman n.政治家
eternal adj.不朽的；永恒的；无休止的
off adv.离开；被取消；未连接；休息；减价的
characteristic n.特性，特征，特点
grave n.坟墓；死亡
itself pron.它自己
bid v.出价；投标；努力争取；叫牌；问候；道别
devise v.设计，发明，想出
underneath prep.在…下面
arrogant adj.傲慢的；自大的
shrewd adj.机灵的，敏锐的，精明的
roar v.咆哮；叫喊；放声大笑；熊熊燃烧；（车辆）飞驰而过
arouse v.唤起，激起（情绪等）
freeze v.（使）冻结；（天气）冰冻；极冷；冷藏；（因惊吓而）呆住；冻结（账户）
pigeon n.鸽子
lean v.（使）倾斜，斜靠，倚靠
bloom v.开花；精神焕发；蓬勃发展
jaw n.颌骨；下巴；口部
via prep.经由；通过，借助于
delivery n.投递，传送；分娩；（演讲等的）风格
epoch n.时代，纪元，时期
sympathize v.同情，赞同
exotic adj.外（国）来的；具有异国情调的；奇异的
gallery n.画廊；美术馆；长廊
inform v.通知；影响；了解
transmission n.传送；传播，传染；（节目）播送；变速器
remark n.评论；言论
shoe n.鞋
together adv.一致地；同时；总共
miniature n.微型画；缩微模型
court n.法庭；宫廷；球场；全体法官
dull adj.枯燥的；不明亮的；（天气）阴沉的；迟钝的
superb adj.极佳的，卓越的
bush n.灌木；浓密的毛发
avoid v.避免做（某事）；回避；绕行；防止
regulate v.管理；调节
frank adj.坦白的，直率的
typewriter n.打字机
infant n.幼儿；婴儿
park n.公园；园区；停车场
gracious adj.慈祥的；有礼貌的；仁慈的
auxiliary adj.辅助的；备用的
money n.钱；财富；钞票
vinegar n.醋
challenge n.挑战；考验
spider n.蜘蛛
army n.陆军；大批，大群
beg v.乞讨；恳求；祈求
again adv.再次；再说，其次
pitch n.球场；音高；倾斜度；投球；沥青
kidney n.肾；腰子
balloon v.膨胀；猛增；乘热气球飞行
overall adj.全面的，综合的，总体的
relay v.转发；转播
crown n.王冠；冕；王权；花冠；冠军称号
dam n.坝，水坝
festival n.节日；节庆
store n.商店；仓库；储备
predator n.捕食者；掠夺者
lady n.女士；夫人
solution n.解决方案；答案；溶液
eat v.吃，吃饭
consist v.由…组成；存在于
forbid v.禁止；阻止
lyric n.抒情诗；歌词
hardship n.艰难，困苦
morality n.道德（准则）；道德性
win v.获胜；取得
bonus n.奖金；额外的好处
resident n.居民；房客；住院医师
goodness n.善良，美德；养分
physiology n.生理（机能）
confidence n.信任；自信；秘密
body n.身体；躯干；尸体；主体部分；团体；大量
competition n.竞争；竞赛；竞争者
ago adv.以前
assist v.帮助；促进；在场（当助手）
thirst n.口渴；渴望
case n.事例；案件；病例；诉讼；（审判时的）论据；容器
lung n.肺
observation n.观察（力）；评论
hinder v.阻碍，妨碍
bump v.碰撞；颠簸前进
sting v.蜇；叮；使感觉刺痛；激怒；使不安；敲诈
muscular adj.肌肉（发达）的
exceed v.超过；超越
beam n.光线，光束；横梁
handicap n.生理缺陷；障碍；阻碍
hug n.拥抱
spokeswoman n.女发言人
settlement n.解决；协议；偿还；定居点
invade v.侵略；侵害；大量涌入
exempt adj.被免除（责任或义务）的
borrow v.借用；向…借贷；引用
foreigner n.外国人；外来人
siren n.汽笛，报警器；塞壬
artery n.动脉；干线，干流
entire adj.全部的，整个的
plausible adj.貌似合理的；巧言令色的
bless v.祝福，求上帝降福于（某人）；称颂上帝
purse n.（尤指女用）小钱包；资金
neat adj.整洁的；整齐的；小巧优雅的；干净利索的
loss n.丧失，损失；去世；亏损；失败
just adv.刚才；恰好；正当…时；同样；勉强；正要；只是；完全
touch n.触觉；触摸；润色
should aux. v.应该；将会；必须
museum n.博物馆
arena n.竞技场；圆形剧场；活动场地
passerby n.过路人，行人
mistress n.情妇；女主人；女教师
gesture n.手势；姿态，表示
salesperson n.售货员
rate n.速率；进度；比率；价格
sand n.沙子；沙滩
confirm v.证实，确认；批准
disc n.圆盘；磁盘
respective adj.各自的；分别的
dance n.舞蹈；舞会
necessary adj.必需的，必要的；必然的
cosy adj.温暖舒适的；密切的；轻易得到的
king n.国王；最重要者
scrap n.碎片；废料；残羹剩饭
abstract adj.抽象（派）的
commend v.公开称赞；推荐；托付
theater n.剧院；戏剧；戏剧工作
fortune n.运气；大笔钱；命运
opinion n.意见，看法；观点
chase v.追逐，追捕；追求；催促；急奔
invention n.发明；虚构；发明物；创造力
numb adj.麻木的；木然的；惊呆的
aggravate v.使严重，使恶化；（故意）激怒
dissipate v.（使）消散；挥霍
specify v.明确说明，具体指定
leak v.漏出，泄漏
velvet n.丝绒，天鹅绒
cargo n.货物
manuscript n.手稿，原稿；手写稿
segment n.部分；片段；（水果的）瓣
seam n.接缝，缝合；皱纹；伤疤；矿层
forth adv.向前；向某处；向外
modernization n.现代化
boat n.小船，汽艇
fling v.扔；迅猛移动
proof n.证据；证实，证明；校样
male adj.男性的；雄性的
secretary n.秘书；大臣
vital adj.至关重要的；维持生命必须的；生气勃勃的，充满生机的
axe n.斧
alleviate v.减轻，缓和
cushion n.垫子；缓冲物
necklace n.项圈，项链
amplify v.放大，增强；进一步详述
digital adj.数码的；数字化的
objective n.目的，目标
veto v.否决
stress n.压力，紧张；强调，重要性
love n.爱；心爱的人（或物）
shortage n.不足，缺少，短缺
landlord n.房东；地主；店主
phenomenon n.现象；非凡的人（或事物）
yellow adj.黄色的；黄色人种的
futile adj.徒劳的，无效的
religious adj.宗教的
dew n.露水
travel n.旅行；游历
astronomy n.天文学
nitrogen n.氮
orbit n.轨道；势力范围
beginning n.开头；开端
impair v.损伤；削弱
drill n.钻头，钻机；训练；演习；常规步骤
damn v.批评；谴责；（表示愤怒）讨厌；使某人下地狱
wink v.眨眼；闪烁
respond v.回复，回答；作出反应
per prep.每，每一
concert n.音乐会，演奏会
fringe n.流苏；穗状物；刘海；边缘
solo n.独唱（奏）；单人表演
friendship n.友谊；友好
worship n.崇敬，爱戴；（对神的）崇拜
taboo n.禁忌，忌讳
pupil n.（尤指）小学生；弟子；瞳孔
motion n.运动，移动；动作；提议
bend v.（使）弯曲，（使）屈服；歪曲（规则）
information n.信息，情报
whirl v.（使）旋转，打转；（思想）混乱不清
eminent adj.卓越的；著名的
recognize v.认出；承认；意识到
undermine v.暗中破坏；逐渐削弱
suck v.吮吸；吸食；抽取；吸引
breed n.品种；类型
son n.儿子，子孙
inner adj.里面的，内部的；内心的；近权势中心的
expensive adj.昂贵的
organic adj.有机的；器官的；逐步的
category n.种类，类别
scarce adj.缺乏的；供不应求的；稀少的
spectacular adj.壮观的，令人惊叹的
cloud n.云；阴影，忧虑
strain v.拉伤，损伤；尽力；过多使用
herd n.兽群，牧群；人群
maths n.数学
steak n.牛排，鱼排，肉块
underestimate v.低估；轻视
conscience n.良心，良知；内疚
ambition n.野心，抱负；长久的愿望
tag n.标签；称呼，绰号
justify v.证明…正确（或正当、有理）；对…作出解释
repel v.击退；驱除；使恐惧；使厌恶；排斥
comrade n.共患难的朋友，同志
indulge v.沉溺于；迁就；满足（欲望）
negotiate v.谈判；洽谈；协商；通过
assignment n.任务，工作；分配
obstruction n.阻挡，妨碍；堵塞；路障
cluster v.群聚，聚集
piano n.钢琴
match n.比赛；火柴；敌手；相配的人（或物）；
blade n.刀片；桨叶；叶片；冰刀
nature n.自然；本质；基本特征；种类
score n.得分；分数；二十；音乐总谱
inaugurate v.为…举行就职典礼；为…举行落成仪式；开创
comprise v.由…组成；是…组成部分
substantial adj.大量的；重大的；结实的；本质的
beneficial adj.有帮助的，有利的
portfolio n.文件夹；作品集；投资组合
against prep.反对，违反；对…不利；紧靠；碰，撞
addition n.加，加法；增加；添加物
specimen n.样本；标本；抽样
nor conj.也不
bulletin n.公告；新闻快报；简报；公报
promising adj.有希望的，有前途的
deviate v.偏离，背离
management n.管理；管理部门；治疗
hunger n.饥饿；饥荒；渴求
church n.教堂；基督教教派
host n.主人；主持人；宿主；主机；许多
parallel adj.平行的；同时发生的；相似的
world n.世界；万物
creature n.生物，动物；人
terminal n.终点站；航站楼；（电脑）终端
pronounce v.发音；正式宣布
pretty adv.相当，很
why adv.为什么
uneasy adj.忧虑的；不稳定的；矛盾的
formation n.形成；形成物；队形；排列
productivity n.生产力，生产率
leather n.皮革（制品）
gap n.缺口；分歧，差距；间隙；洞
flesh n.肉；（人的）皮肤；果肉
drought n.干旱；长期缺乏（某物）
tram n.有轨电车
platform n.平台；月台；讲台；政纲
lace n.蕾丝；鞋带
yield v.产生，出产；屈服，让步；放弃
stale adj.（食物）不新鲜的；（空气）污浊的；没有新意的；厌倦的
recovery n.恢复，康复；复苏；收回
three num.三
verify v.核实，证明
flesh n.肉；（人的）皮肤；果肉
drought n.干旱；长期缺乏（某物）
tram n.有轨电车
platform n.平台；月台；讲台；政纲
lace n.蕾丝；鞋带
yield v.产生，出产；屈服，让步；放弃
stale adj.（食物）不新鲜的；（空气）污浊的；没有新意的；厌倦的
recovery n.恢复，康复；复苏；收回
three num.三
verify v.核实，证明
misunderstand v.误解，误会
carbohydrate n.碳水化合物
green adj.绿色的；环保的；未成熟的；缺乏经验的
along adv.向前；与…一起
nearly adv.几乎，将近，差不多
pattern n.模式；典范；图案；样板
twinkle v.闪耀，闪烁；（眼睛）发亮
weekend n.周末
central adj.重要的；主要的；中心的
brush n.刷子；画笔；轻擦；小冲突；灌木丛
fear n.害怕，惧怕，担忧
pilot adj.试验性的，试点的
take v.取，拿；接受；忍受；花费；需要；吃，喝；乘坐
upset v.打乱；弄翻；使心烦意乱，使苦恼；使肠胃不适
tolerate v.忍受；容许；有耐受性
parade v.游行；列队行进；招摇而行；展示
noun n.名词
embark v.上船；开始从事
wild adj.野生的；荒芜的；缺乏管教的；疯狂的
thousand num.一千
posture n.姿势，仪态；态度
bomb n.炸弹
mental adj.智力的；心理的；精神的；疯狂的
penny n.便士；分
closet n.储藏室，壁橱
magnify v.放大；增强；夸张
strange adj.奇怪的；陌生的
explanation n.解释，说明；说明性文字
ideal adj.理想的，完美的；想象的
o'clock adv.…点钟
paperback n.平装书
favorable adj.有利的；支持的；给人好印象的
repetition n.重复
director n.董事，经理；负责人；导演
enthusiasm n.热情，热忱；热衷的事物
stream n.小河，溪流；（液、气、人或车）流；一连串
retail n.零售
chat v.聊天；闲聊
furnace n.炉子；熔炉
obesity n.肥胖症
intermediate adj.中间的；居中的；中级的
everybody pron.每个人，所有人
go v.去，走；移动，旅行，行走；离开，出发；去做（某事）；参加，从事（活动或运动）；通向；说（代替say）；（故事）发生情况如何
magnet n.磁铁；有吸引力的人或物
anchor n.锚；精神支柱；主持人
restaurant n.餐厅
career n.职业；事业；职业生涯
failure n.失败（的人或物）；未做；故障；突然断电
Sunday n.星期日
subway n.地铁；地下通道
candidate n.考生；申请人；候选人
induce v.导致，引起；诱使，劝说；催产
consult v.请教；查阅；向（专家）咨询
authority n.当局；威信，权威；管辖权；权力；职权
segregate v.分开；隔离
participant n.参与者，参加者
another det.又一；另一；不同的
valley n.山谷，河谷；流域
essay n.短文；论文；散文
assess v.评定；估价，估计
underlie v.构成…的基础，作为…的原因
colleague n.同事，同僚
national adj.国家的，民族的；国有的
inertia n.懒惰；（物理）惯性
trial n.审讯，审判；试验；预赛；试用
bubble n.气泡；泡沫
policeman n.（男）警察
probability n.可能性；很可能发生的事情；概率
iron adj.坚强的，强硬坚定的
consumption n.消耗；食用；消费
underlie v.构成…的基础，作为…的原因
colleague n.同事，同僚
national adj.国家的，民族的；国有的
inertia n.懒惰；（物理）惯性
trial n.审讯，审判；试验；预赛；试用
bubble n.气泡；泡沫
policeman n.（男）警察
probability n.可能性；很可能发生的事情；概率
iron adj.坚强的，强硬坚定的
consumption n.消耗；食用；消费
large adj.大的，大量的；广泛的，众多的
show n.表现；演出；节目；展览
toilet n.抽水马桶；厕所
dig n.挖；挖苦，嘲讽
entrepreneur n.企业家
clockwise adv.顺时针方向地
veteran n.退伍军人；老手
surplus n.过剩，剩余额；盈余，顺差
slump v.猛跌；重重地坐下
delight n.愉快；令人高兴的事
loyal adj.忠诚的，忠贞的
dim adj.暗淡的；昏暗的；模糊的；愚笨的
revolve v.旋转；围绕…转；以…为中心
none adv.不怎么，绝无
tip n.尖端；小费；提示，建议
indifferent adj.不感兴趣的；一般的
religion n.宗教（信仰）
quota n.定额；指标；配额
reservation n.预订；保留意见；（印第安人的）保留地
stitch n.针脚；（缝合伤口）缝线
stroke n.中风；击球；一击；游泳姿势；轻抚；笔画；钟声
district n.地区；区域；行政区
weed n.杂草，野草
decent adj.出色的；正派的；得体的；舒适的
elapse v.（时间）流逝
state n.国家；政府；州；邦；状态；状况；（the States）美国
volunteer n.志愿者，志愿兵
tear n.眼泪；破口
desperate adj.绝望的，孤注一掷的；极度渴望的；极危险的
modest adj.谦虚的；朴素的；适度的
cheer n.欢呼声，喝彩声；欢乐的气氛
thrill v.使非常兴奋，感到激动
prohibit v.禁止；阻止
tariff n.关税
blast n.爆炸；强劲气流；响声
biography n.传记
accustom v.习惯于
tour n.旅游；参观；巡回
outskirts n.郊区
compete v.竞争，对抗；参加竞赛
lorry n.卡车，货车
happen v.发生，出现；碰巧
pretext n.借口，托词
sweater n.毛衣
text n.文本；文档；教科书；短信
emerge v.出现；显露；摆脱困境；变显眼
divide v.（使）分割；分配；分隔；（使）产生分歧；除以
librarian n.图书管理员
note n.笔记；便签；纸币；音符；特征
stay v.保持（状态）；停留；暂住
dumb adj.笨的；哑的，无言的
genuine adj.真正的；真诚的
indicate v.表明；暗示；指出；象征
percentage n.百分数，百分率；利润的分成
cube n.立方体（形状的东西）；立方；小房间
observe v.注意到；观察，监视；说话，评论；遵守
slim adj.苗条的；单薄的；少的，小的
spirit n.精神；幽灵；活力；本质；情绪；烈酒
alone adj.独自；单独；仅仅
regard n.关注；尊重；致意
steal v.偷，窃取
beside prep.在…旁边；与…相比
power n.力量；能力；影响力；政权；权力；强国；能量
contemporary adj.当代的；同时代的
extra adj.额外的；附加的
flag n.旗；旗帜
usually adv.通常，一般，经常
company n.公司；陪伴；宾客；连队；剧团
cumulative adj.聚积的；累计的
behave v.表现；举止端正；（自然现象）起作用；（机器）运转
counterpart n.对应的人（或物）；副本
suspect v.怀疑，推测
sole adj.唯一的，仅有的；独占的
ratio n.比例，比率
attempt n.企图，尝试；杀人企图
philosophy n.哲学（体系）；人生哲学，（生活、工作）准则
needle n.针；指针；松针
slum n.贫民窟；贫民区
curtain n.窗帘；帷幔；覆盖物
organ n.器官；管风琴；机构
spur v.激励，鼓舞；加速；鞭策
best adj.最好的
overwhelm v.（感情等）充溢；击败；使应接不暇；（水）淹没
consequence n.结果，后果；重要性
shy adj.羞怯的；易受惊的；欠缺的
wing n.翅膀；机翼；派系；侧翼
ideology n.意识形态，思想体系
visible adj.明显的；可见的
purpose n.目的，用途；重要意义；毅力
spark n.火花；诱因；才华；微量
discovery n.发现；被发现的事物（或人）
chef n.厨师，主厨
parachute n.降落伞
confess v.承认，坦白；忏悔
cease v.（使）停止
positive adj.积极的；肯定的；赞同的；确信的；阳性的
fish n.鱼（肉）
centre n.中心，中央
hammer n.锤子
merge v.（使）合并；融入
stagnate v.停滞；不发展；因不流动而变得污浊
romance n.浪漫史；恋爱；爱情故事
practical adj.实际的；可行的；有用的；实事求是的；几乎完全的
alien n.外国人；外星人
biscuit n.饼干；淡黄褐色
bath n.洗澡；浴缸；公共浴室
therefore adv.因此，从而
largely adv.主要地，基本上；总体上
technical adj.技术的，工艺；专业的
despite prep.尽管，即使
precede v.先于；处于…之前
panic v.（使）惊慌
belong v.应在（某处）；适应；属于
friend n.朋友；同伙，同盟
remove v.移开；去除；使消失；解除（职务等）
superiority n.优势；优越感
stewardess n.女乘务员
census n.人口普查（调查）
health n.健康（状况）；医疗
boil n.沸腾；沸点；疖；皮下脓肿
kit n.成套用具；配套元件；装备
too adv.过于；也；非常
after prep.仅次于，追赶，跟随；在…以后
propaganda n.（政治）宣传
optical adj.视力的；光学的
accent n.重音；口音
June n.六月
easy adj.容易的；舒适的；随和的
mute adj.沉默的；哑的
waken v.醒来；唤醒
nut n.坚果；螺母；疯子
conservation n.节约；保护；修复
hope n.希望（的东西）
genius n.天赋；天才人物；本领
thereafter adv.此后，以后
indeed adv.的确；其实；真正地
derive v.源自；来源于；从…得出
conceal v.隐瞒；掩盖
downtown adv.在（到）市区
horn n.喇叭；（乐器）号；（动物的）角
chain n.链条，链子；一系列；连锁店
altogether adv.完全（表示强调）；总共；总之
grape n.葡萄
second ord.第二
reduction n.减少，缩减；减价，折扣
autonomy n.自治；自主权
task n.工作，任务；活动
imagination n.想象（力）；幻想物
postcard n.明信片
pyramid n.金字塔；锥体；金字塔式结构
Tuesday n.周二
melt v.（使）熔化，融化；（使）气氛缓和
previous adj.先前的，以前的；上一个的
foreign adj.外国的；陌生的
behind adv.在（或向）后面；拖延
insect n.昆虫
assume v.假设；承担；就职；呈现；假装
review n.审查；复习；检阅；评价
erupt v.（火山）爆发；突然发生；（情绪等）迸发；突然出现（疹子等）
reciprocal adj.互惠的，相互的
advanced adj.先进的；高级的（课程）；晚期的
recreation n.消遣；娱乐；重现
bullet n.子弹
collect v.采集；收藏；聚集；领取
condense v.压缩；凝结；浓缩
weave v.编织；编纂；迂回前行
exhaust v.使精疲力竭；花光；详尽讨论
wreck n.失事；沉船；撞车事故；残骸
web n.网，网状物；网络
dark adj.黑暗的；深色的；无望的；邪恶的
recent adj.近来的，新近的
dismay v.使惊愕；使灰心，使失望
lover n.情人；爱好者
descendant n.后裔；后代；衍生物
eradicate v.根除，杜绝
parcel n.包裹；邮包
surge n.（强烈感情的）突发；数量激增；（浪）奔涌向前
undertake v.着手做，承担；承诺
spend v.花费；度过（一段时间）
compulsory adj.强制的；必须做的
grass n.草地，牧草，青草
audio adj.音频的，声音的
eclipse v.遮住…的光；使黯然失色
consultant n.顾问
plural n.复数
harness v.控制，利用；给…套上挽具
fall v.落下；摔倒；下降；沦陷；落入某种状态
definite adj.肯定的；明显的
employee n.雇员
single adj.单个的；单身的；单人的；单程的
cement n.水泥；混凝土；胶合剂
casualty n.伤亡人员；受害者；急诊室
connection n.关联，联系；连接（点）；人脉
emotion n.感情，情绪
memory n.记忆力；回忆；内存
village n.村子；乡村；乡村居民
sixty num.六十
thermal adj.热的；热量的；保暖的；温暖的
yearly adj.每年的；年度的
offend v.冒犯；违反；使不快；犯罪
office n.办公室
remind v.使记起，提醒
scientist n.科学家
rack n.架子；支架；颈脊肉
franchise n.特许经营权；特许经销机构；选举权
mislead v.误导；使误入歧途
pact n.协定，条约，公约
documentary n.纪录片
tired adj.疲劳的，厌烦的，陈腐的
cunning adj.狡猾的；灵巧的，巧妙的
mobile adj.可移动的；流动的；行动方便的
companion n.伴侣；同伴；成套物之一
require v.需要；规定
deduce v.推论，推断；演绎
physician n.（内科）医生
continue v.继续
resolve v.解决；决心；决议
justice n.公正，公平；法官；审判；司法
abuse n.滥用；虐待；辱骂
conversely adv.相反地
like prep.像，类似；例如
file n.文件；文件夹；锉刀
jet n.喷气式飞机；喷口
weep v.流泪，哭泣；渗出（液体）
purchase n.购买；所购物品；紧握
without adv.没有，缺乏
bang v.猛敲；砰地关上；猛撞；重重一击
location n.地点；定位
aside adv.在一边；向旁边；存留；除…之外
dot n.点，小圆点
resistant adj.抵制的；有抵抗力的
flour n.面粉
membership n.会员身份；全体会员
brisk adj.轻快的；（生意）兴隆的；（气候）寒冷而清新的；干脆利索的
recipe n.食谱，处方，秘诀
crop n.庄稼；产量；一批人；短发
questionnaire n.调查表，问卷
heighten v.加强，提高；增强
prey v.捕食；占便宜；使烦扰
numerous adj.众多的；许多的
henceforth adv.今后
deteriorate v.恶化，变坏
commodity n.商品；有用的东西
step n.迈步（声）；步伐；步骤；阶段；台阶
general adj.总体的，普遍的；一般的；大概的；首席的
April n.四月
limit n.限制；极限，限额；（地区的）界限，范围
during prep.在…期间
mobilize v.动员；调用
directly adv.直接地；正好；立即
eloquent adj.有说服力的，雄辩的；传神的
greenhouse n.温室，暖房
blind adj.失明的；视而不见的；盲目的
convenient adj.方便的；附近的，容易到达的
student n.学生；学者
thirty num.三十
season n.季节；旺季；流行期
wardrobe n.衣柜，衣橱；（一个人的）全部衣物
symphony n.交响乐；和谐
comprehend v.理解
even adv.甚至；其实
synthetic adj.合成的；人造的
admire v.钦佩，仰慕；欣赏
fairy n.小仙子，小精灵
exist v.存在；（尤指在困境中）生存
victory n.胜利；成功
coin n.硬币
rim n.（圆形物体的）边沿，轮圈
intensive adj.密集的；加强的
duplicate v.复制；使加倍；重复
worse adj.更糟的；更差的；更严重的
support n.支持，鼓励；资助；支撑；证据
intrigue v.激起…的兴趣；密谋
most det.最多，最大；大多数，几乎所有
rib n.肋骨；排骨
absolute adj.完全的；十足的；肯定的；不受限制的；独立的
stroll n.散步，溜达，闲逛
embassy n.大使馆；（全体）使馆官员
boost v.促进；增强；使增长
preside v.掌管；主持
wise adj.充满智慧的；明智的；英明的
aesthetic adj.审美的；美学的
striking adj.引人注目的，显著的
seize v.抓住；攻占；扣押；（情绪）侵袭
difficult adj.困难的；难以讨好的
interval n.间隔；中场休息
pottery n.陶器；陶土；制陶工艺；制陶作坊
aviation n.航空（业）
equality n.平等；均等；相同
norm n.标准；规范；正常行为
upward adj.向上的；上涨的
layer n.层；层级
translate v.翻译；（使）转变
fascinate v.深深吸引，使着迷
exploit v.利用；剥削，压榨；开采
belly n.肚子；凸起部分
possibility n.可能性；可能的事（或选项）；机会
storage n.贮藏（空间）；（数据）存储
preposition n.介词
metal n.金属，重金属音乐
squirrel n.松鼠
edge n.边缘；刀刃；优势；锐利
hedge v.用树篱围住；包围，限制；拐弯抹角；防备（金钱损失）
admit v.承认；供认；准许…进入；接收入院
sneeze v.打喷嚏
interrupt v.插嘴，打断；使中断；遮挡
sheer adj.纯粹的；陡峭的；（织物等）轻薄透明的
stripe n.条纹，线条；徽章；类型
skillful adj.技术好的；熟练的；制作巧妙的
senator n.参议员
anyone pron.任何人；重要人物
road n.道路；途径；方法
lawn n.草地，草坪
confront v.正视；处理（问题）；面对；面临；遭遇
missile n.导弹；发射物
triumph n.胜利；成功；典范
town n.市镇
earthquake n.地震
hour n.小时；整点；时刻；长时间
grin n.咧嘴笑
literary adj.文学的；从事文学（工作）的；书面的
genre n.（艺术作品）体裁，类型
silk n.丝，丝绸
graze v.放牧；吃草；擦伤
skim v.略读，浏览；掠过；撇去（液体上的浮沫等）
fume v.发怒，恼火；冒烟
bug n.小虫子；窃听器；程序漏洞；小病
golden adj.金的；金色的；美好的
ticket n.票，券；交通罚单
sudden adj.突然的，意外的
stubborn adj.固执的；倔强的；难以去除或对付的
flood n.洪水；大量
dazzle v.使眼花，使目眩；使惊奇
turnover n.营业额，成交量；人员更替率；货物周转率
growth n.生长；成长；增长；发展；增加
bypass n.旁路；（心脏）搭桥术
paw n.爪
sequence n.一系列；顺序；连续事件
dream n.梦；梦想；出神
twelve num.十二
chair n.椅子；主席；（大学）系主任
indispensable adj.不可或缺的
treasure n.财富；珍宝；备受宠爱的人
ground n.地面，土地；领域；根据
predict v.预言，预告
mother n.母亲；女修道院院长
metric adj.米制的，公制的
campaign n.战役；活动；运动
wide adj.宽的；广泛的；睁大的
would mod. v.将会；但愿；总是
tame adj.驯服的；沉闷的
taste n.味道；味觉；一点儿；爱好；体会；鉴赏力
what pron.什么，多么，真
sightseeing n.观光，游览
skill n.技能；技术
professor n.教授；教员
comment n.评论；批评
leg n.腿；裤腿；一段路程
radius n.半径（范围）；周围
simply adv.只是，简单地，简直，不过
messenger n.信使；通信员
literature n.文学（作品）；文献
empirical adj.经验主义的；依靠经验的
whisper v.耳语，小声说；私下说；沙沙作响
rise n.增加；提高；增强；加薪；上升
debate n.正式讨论；辩论
default v.违约；不履行义务；默认
cooperate v.合作；配合
vain adj.徒劳的；自负的
federal adj.联邦（制）的； 联邦政府的
subject n.主题；学科；实验对象；主语；臣民
imaginary adj.想象的，虚构的
cucumber n.黄瓜
agree v.同意，赞成；答应；约定；一致，相符
personal adj.个人的，私人的；亲自的
harmony n.和谐；和声；协调
hurt adj.（身体或感情上）受伤的
guard n.警卫；卫兵；后卫
steady adj.稳定的，稳步的；可靠的；持续的
detective n.侦探；警探
odd adj.古怪的；空余的；偶然的；奇数的
funny adj.滑稽的；离奇的；出故障的
invalid adj.无效的，不受法律承认的
canal n.运河，沟渠；（体内的）管，道
cafeteria n.自助餐厅
durable adj.耐用的；经久的
nowhere adv.任何地方都不；无处
sauce n.酱，调味汁
immerse v.（使）浸没在…；（使）深陷于…
entitle v.给（某人）权利（或资格）；给…命名
fence n.栅栏，篱笆；（赛马中的）障碍物
sow v.播种；散布，激起
meal n.一顿饭
scrape v.刮掉；擦伤；发出刮擦声；艰难取得
clever adj.聪明的；精巧的
liquid adj.液体的；（资金）流动的
communication n.沟通；交际；通信；书信；传播学
pretend adj.假装的，想象的
auction n.拍卖
disposition n.性格；倾向；布置；（财产等）处置
aspect n.考虑事物的方式；方面
dash n.猛冲；匆忙；少量；破折号
misery n.痛苦；苦恼；苦难
list n.清单
portrait n.肖像，半身照；描绘
excite v.激发；刺激；引起；使激动
cafe n.咖啡馆；小餐馆
constitute v.被算作；组成，构成；设立；相当于
conjunction n.同时发生；结合；连词
talent n.天赋；有才能的人
feasible adj.可行的，行得通的
faith n.信心；宗教信仰；诚意
immense adj.巨大的，广大的
epidemic n.流行病；（迅速）蔓延，泛滥
rhetoric n.花言巧语，修辞技巧
violin n.小提琴
despair n.绝望
trap n.陷阱；圈套；困境，牢笼
significant adj.意义重大的；显著的；意味深长的；相当数量的
tire n.轮胎，车胎
sword n.剑，刀
parasite n.寄生生物；依赖他人过活者
increase n.增加
affect v.影响；使感染；深深打动
reader n.读者；读本；电子阅读器
likely adj.可能的；似乎合适的
afraid adj.害怕的，担心的
something pron.某事，某物
forty num.四十
log v.记录；行驶；伐木
shut v.关上，关闭；停止营业
interfere v.干涉，干扰；妨碍
hatred n.憎恨，憎恶，厌恶
cheat v.欺骗；作弊；（对伴侣等）不忠
deck n.甲板；层面；一副（牌）
marry v.结婚
cabbage n.卷心菜
grace n.优雅；文雅；宽限期；恩宠；阁下
restraint n.控制；克制；制约因素
enhance v.提高；增强，增进
canvas n.帆布，画布，油画
bud n.芽，花苞；老兄
antenna n.触角；触须；天线
distant adj.遥远的；远亲的；冷淡的
monarch n.君主，帝王
now pron.现在；马上
region n.区域；（某个）身体部位
masterpiece n.杰作；典范
thorough adj.彻底的，深入的；仔细的
novel n.（长篇）小说
cylinder n.圆柱（体）；气缸
gauge v.判断；测量；估算
story n.故事，叙述；楼层
northwest adj.西北的
might aux. v.可能；可以
imply v.暗示；暗指；意味；表明
